username,first_name,last_name
joamatab,Joaquin,Matres
simbilod,Simon,Bilodeau
tvt173,Troy,Tamas
SkandanC,Skandan,Chandrasekar
MatthewMckee4,Matthew,Mckee
thomasdorch,Thomas,Dorch
pre-commit-ci[bot],,
nikosavola,Niko,Savola
dependabot[bot],,
sebastian-goeldi,Sebastian,Goeldi
flaport,Floris,Laporte
HelgeGehring,Helge,Gehring
daquintero,Dario,Antonio Quintero Dominguez
yaugenst,Yannick,Augenstein
lucasgrjn,Lucas,Grosjean
FaragElsayed2,Farag,Elsayed
Edward-Deacon,Edward,Deacon
Jelly298,JellyLab,
jan-david-fischbach,Jan,David Fischbach
friederike-joehlinger-wavephotonics,,
fp-matt,Matthew,Larkins
server5056,,
atorkmabrains,Amro,Tork
alexsludds,Alex,Sludds
lawrence-r,,
Vivswan,Vivswan,Shah
thomaslima,Thomas,Ferreira de Lima
lucas-flexcompute,Lucas,
QuentinWach,Quentin,Wach
basnijholt,Bas,Nijholt
threaddy,fgarbu,
simenmm,,
zobristnicholas,Nicholas,Zobrist
jonbenfri,Jonathan,Friedman
manoranjanminz,Manoranjan,Minz
alibillalhammoud,Ali,Hammoud
95-martin-orion,Orion,Martin
AntoineGervais,,
joelslaby,Joel,Slaby
wuzhonghan,wuzhonghan,
leochand101,Cramamur,
kch3782,Changhyun,Kim
peteshadbolt,Pete,Shadbolt
jramirez857,Jose,Ramirez
Daasein,WEI,XIANGYU
sequoiap,Sequoia,
gitter-badger,The,Gitter Badger
mithro,Tim,'mithro' Ansell
st4eve,Tristan,Austin
LIU-Yinyi,Yinyi,(Shannon) LIU
bhnzhang,Bohan,Zhang
donato-ax,Donato,
edelmanjm,,
jaimergp,,
momchil-flex,,
peterFecko,,
pyjavo,Javier,Daza
rmcamacho,Ryan,Camacho
sunilkpai,Sunil,Pai
thanojo,,
wwwwwwzx,,
yoshi74ls181,,
aaronmondal,Aaron,Siddhartha Mondal
smartalecH,Alec,Hammond
oskooi,Ardavan,Oskooi
cloudcalvin,Calvin,M
dominauta,David,Domenech
elamdf,Elam,Day-Friedland
feifanphys,ffaity,
gronniger,,
hakancelikdev,Hakan,Çelik
gJDelavega,John,Delavega
Python-simulation,Jonathan,Peltier
lukasc-ubc,Lukas,Chrostowski
mdecea,Marc,de Cea
delanema,Matthew,A Delaney
minrk,Min,RK
pelmers,Peter,Elmers
rgiroud,Robin,
